"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"97","PA01_Kp","trial_3","control","KPPR1_fresh_LB","T0",3e+06,3360000,6.52633927738984,263818.119165458,5.42130461980528,NA,NA,NA,NA
"98","PA01_Kp","trial_3","spent","KPPR1_self_spent","T0",3200000,3120000,6.49415459401844,205912.60281974,5.31368292829637,NA,NA,NA,NA
"99","PA01_Kp","trial_3","spent","KPPR1_spent_PA01","T0",4400000,3400000,6.53147891704226,296647.939483827,5.47224133607508,NA,NA,NA,NA
"100","PA01_Kp","trial_3","co-culture","KPPR1_PA01","T0",4600000,3560000,6.55144999797287,354400.902933387,5.54949481970059,NA,NA,NA,NA
"101","PA01_Kp","trial_3","control","KPPR1_fresh_LB","T24",3.2e+10,2.644e+10,10.4222614508136,6968041331.67994,9.84311071807126,10666.6666666667,4.02802872360024,8315.5303030303,3.9198899505292
"102","PA01_Kp","trial_3","spent","KPPR1_self_spent","T24",6.4e+07,1.8e+08,8.25527250510331,59005084.5266745,7.77088943684103,20,1.30102999566398,60.4052287581699,1.78107453336509
"103","PA01_Kp","trial_3","spent","KPPR1_spent_PA01","T24",2200000,154840000,8.18988316264692,74118726.378696,7.86992794799904,0.5,-0.301029995663981,47.7089743589744,1.67860008025573
"104","PA01_Kp","trial_3","co-culture","KPPR1_PA01","T24",8e+08,7.488e+09,9.87436583573005,5181866845.06655,9.71448624902113,173.913043478261,2.24033215531037,1963.47308488613,3.29302495237723
"105","PA01_Kp","trial_4","control","KPPR1_fresh_LB","T0",3200000,3360000,6.52633927738984,263818.119165458,5.42130461980528,NA,NA,NA,NA
"106","PA01_Kp","trial_4","spent","KPPR1_self_spent","T0",3e+06,3120000,6.49415459401844,205912.60281974,5.31368292829637,NA,NA,NA,NA
"107","PA01_Kp","trial_4","spent","KPPR1_spent_PA01","T0",2600000,3400000,6.53147891704226,296647.939483827,5.47224133607508,NA,NA,NA,NA
