"","Strain","Sample","Day","Sex","CFU_per_g_total","LOD","Tissue","Group","Strain_ref","Day_cont","log_CFU_per_g","trial","mean_log_CFU_per_g","sem_log_CFU_per_g"
"59","JV1","feces_M69","D13","F",4780876494.02392,"No","feces","ctrl","JV1","13",9.67950752456659,"trial_1",8.57906760069295,0.890116586588122
"60","JV1","feces_M70","D13","F",9913258983.891,"No","feces","ctrl","JV1","13",9.99621645226988,"trial_1",8.57906760069295,0.890116586588122
"61","JV1","cecum_M66","D14","F",34134390398.3263,"No","cecum","ctrl","JV1","14",10.5331921512478,"trial_1",8.03132699011265,0.991263851079868
"62","JV1","cecum_M68","D14","F",25207591933.5706,"No","cecum","ctrl","JV1","14",10.4015313597616,"trial_1",8.03132699011265,0.991263851079868
"63","JV1","cecum_M69","D14","F",12574053923.3466,"No","cecum","ctrl","JV1","14",10.0994753184733,"trial_1",8.03132699011265,0.991263851079868
"64","JV1","cecum_M70","D14","F",23022787327.0021,"No","cecum","ctrl","JV1","14",10.3621579017202,"trial_1",8.03132699011265,0.991263851079868
"65","JV4","feces_M81","D1","F",6552901.0238908,"No","feces","exp","JV4","1",6.81643360834944,"trial_2",7.18154161492146,0.223670224676102
"66","JV4","feces_M82","D1","F",32280701.754386,"No","feces","exp","JV4","1",7.50894296733705,"trial_2",7.18154161492146,0.223670224676102
"67","JV4","feces_M83","D1","F",10875000,"No","feces","exp","JV4","1",7.03642926562668,"trial_2",7.18154161492146,0.223670224676102
"68","JV4","feces_M84","D1","F",63007159.9045345,"No","feces","exp","JV4","1",7.79938990390353,"trial_2",7.18154161492146,0.223670224676102
"69","JV4","feces_M85","D1","F",46315789.4736842,"No","feces","exp","JV4","1",7.66572907119734,"trial_2",7.18154161492146,0.223670224676102
"70","JV4","feces_M81","D2","F",22268041.2371134,"No","feces","exp","JV4","2",7.34768201688469,"trial_2",7.18035484257324,0.325252516910215
"71","JV4","feces_M82","D2","F",34069400.630915,"No","feces","exp","JV4","2",7.5323644932692,"trial_2",7.18035484257324,0.325252516910215
"72","JV4","feces_M83","D2","F",54822335.0253806,"No","feces","exp","JV4","2",7.73895752932536,"trial_2",7.18035484257324,0.325252516910215
"73","JV4","feces_M84","D2","F",507042.253521125,"No","feces","exp","JV4","2",5.70504415204821,"trial_2",7.18035484257324,0.325252516910215
"74","JV4","feces_M85","D2","F",1615384.61538462,"No","feces","exp","JV4","2",6.20827594242708,"trial_2",7.18035484257324,0.325252516910215
"75","JV4","feces_M81","D6","F",471910.112359552,"No","feces","exp","JV4","6",5.67385928375299,"trial_2",6.59232250919483,0.249555940760114
"76","JV4","feces_M82","D6","F",9385474.8603352,"No","feces","exp","JV4","6",6.97245625074597,"trial_2",6.59232250919483,0.249555940760114
"77","JV4","feces_M83","D6","F",645476.772616135,"No","feces","exp","JV4","6",5.80988061886249,"trial_2",6.59232250919483,0.249555940760114
"78","JV4","feces_M84","D6","F",3287671.23287672,"No","feces","exp","JV4","6",6.51688838159115,"trial_2",6.59232250919483,0.249555940760114
"79","JV4","feces_M85","D6","F",857142.857142856,"No","feces","exp","JV4","6",5.93305321036939,"trial_2",6.59232250919483,0.249555940760114
"80","JV4","feces_M81","D7","F",91071.4285714291,"No","feces","exp","JV4","7",4.95938214909174,"trial_2",6.16533852411958,0.340636577982722
"81","JV4","feces_M82","D7","F",958083.832335331,"No","feces","exp","JV4","7",5.98140351150834,"trial_2",6.16533852411958,0.340636577982722
"82","JV4","feces_M83","D7","F",593639.575971732,"No","feces","exp","JV4","7",5.77352284620157,"trial_2",6.16533852411958,0.340636577982722
"83","JV4","feces_M84","D7","F",388807.06921944,"No","feces","exp","JV4","7",5.58973415258933,"trial_2",6.16533852411958,0.340636577982722
"84","JV4","feces_M85","D7","F",430622.009569378,"No","feces","exp","JV4","7",5.63409622332827,"trial_2",6.16533852411958,0.340636577982722
"85","JV1","feces_M81","D8","F",11583011.5830116,"No","feces","exp","JV1","8",7.06382149063841,"trial_2",7.78663485690898,0.420587615240352
"86","JV1","feces_M82","D8","F",55813953.4883721,"No","feces","exp","JV1","8",7.74674278613202,"trial_2",7.78663485690898,0.420587615240352
"87","JV1","feces_M83","D8","F",4e+07,"No","feces","exp","JV1","8",7.60205999132796,"trial_2",7.78663485690898,0.420587615240352
