Loc_ID,Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score trial 1,z-score trial 2
PAMr_nr_mas_04_3_B10,PA14_45180,PA1488,NA,putative oxidoreductase,0.20536849480979621,0.7667960939715095
PAMr_nr_mas_04_3_B11,PA14_24290,PA3082,gbt,glycine betaine transmethylase,0.7371694980275694,0.6691101087122139
PAMr_nr_mas_04_3_B12,PA14_01200,NA,NA,Hypothetical protein,-0.052141818894499814,2.2537106640105664
PAMr_nr_mas_04_3_C01,NA,NA,NA,NA,-0.2302809699387896,0.852032368107324
PAMr_nr_mas_04_3_C02,PA14_03830,PA0293,aguB,N-carbamoylputrescine amidohydrolase,-0.8236202872721228,0.1222368182932206
PAMr_nr_mas_04_3_C03,PA14_44210,PA1567,NA,putative Glycine/D-amino acid oxidase,0.3832352366331565,0.2981656617692479
PAMr_nr_mas_04_3_C04,PA14_41970,PA1746,NA,conserved hypothetical protein,1.6474555148332197,-0.33954980269667023
PAMr_nr_mas_04_3_C05,PA14_39360,PA1945,NA,putative sigma-54 dependent transcriptional regulator,2.0883725973049256,-0.06856787752562003
PAMr_nr_mas_04_3_C06,NA,NA,NA,NA,1.7651960260434554,1.9309522377005064
PAMr_nr_mas_04_3_C08,PA14_16330,PA3716,NA,conserved hypothetical protein,-0.7169277563657835,0.030137712240263896
PAMr_nr_mas_04_3_C09,PA14_04070,PA0312,NA,conserved hypothetical protein,0.13440789925955665,-0.1880857140575896
PAMr_nr_mas_04_3_C10,PA14_54830,PA0730,NA,putative transferase,-0.7953789502928917,1.2197036214575256
PAMr_nr_mas_04_3_C11,PA14_42160,PA1730,NA,conserved hypothetical protein,-0.25034405051547637,-0.003189198158898906
PAMr_nr_mas_04_3_C12,PA14_02470,PA0196,pntB,"pyridine nucleotide transhydrogenase, beta subunit",-0.7076584930863529,1.724642078913057
PAMr_nr_mas_04_3_D01,PA14_00310,PA0027,NA,putative peptidyl-prolyl isomerase,0.4498047413025479,1.1760168490857204
PAMr_nr_mas_04_3_D02,PA14_19800,PA3423,NA,"putative transcriptional regulator, AraC family",1.0124671214433614,-0.6079032178294267
PAMr_nr_mas_04_3_D03,PA14_14040,PA3861,NA,putative ATP-dependent RNA helicase RhlB,-0.4611493639589482,0.7459346274800838
PAMr_nr_mas_04_3_D04,PA14_28280,PA2770,NA,"putative phenazine biosynthesis protein, PhzF family",1.3384574670135534,0.42261313841722775
PAMr_nr_mas_04_3_D05,PA14_01430,PA0117,NA,putative short chain dehydrogenase,0.17343952783101782,-0.08787386603223488
PAMr_nr_mas_04_3_D06,PA14_21770,PA3265,NA,putative DMT superfamily transport protein,0.713996576754407,0.30464710778669285
PAMr_nr_mas_04_3_D07,PA14_03720,PA0285,NA,putative sensory box/GGDEF domain/EAL domain protein,0.7173373432077113,0.3312274723758427
PAMr_nr_mas_04_3_D08,PA14_60650,PA4583,NA,conserved hypothetical protein,0.9717479433914102,-0.4575846814139089
PAMr_nr_mas_04_3_D09,PA14_55760,PA4291,NA,conserved hypothetical protein,0.2063219546788002,-0.2571261123630703
PAMr_nr_mas_04_3_D10,PA14_07840,PA0601,NA,putative two-component response regulator,-0.9401604877586854,0.28036953845744034
PAMr_nr_mas_04_3_D11,PA14_71850,PA5442,NA,conserved hypothetical protein,-1.0057229729545687,-0.18266529075710766
PAMr_nr_mas_04_3_D12,PA14_38840,PA1984,NA,NAD+ dependent acetaldehyde dehydrogenase,0.5258330340485056,1.4618944793733288
PAMr_nr_mas_04_3_E01,PA14_45680,PA1452,flhA,flagellar biosynthesis protein FlhA,-1.0425994488839274,-1.0528120307047146
PAMr_nr_mas_04_3_E02,PA14_59720,NA,cupD2,putative pili assembly chaperone,0.6500044853320683,-0.1230721114862107
PAMr_nr_mas_04_3_E03,NA,NA,NA,NA,-0.8222725793118653,-0.7176528235473733
PAMr_nr_mas_04_3_E04,PA14_31950,PA2524,NA,putative heavy metal sensor histidine kinase,-0.9761927043657159,1.0696079738230446
PAMr_nr_mas_04_3_E05,PA14_71680,PA5431,NA,"putative transcriptional regulator, GntR family",-0.6997242798276896,-0.2443546532882792
PAMr_nr_mas_04_3_E06,PA14_46850,PA1347,NA,putative transcriptional regulator,1.5662847961118578,0.5290338814431733
PAMr_nr_mas_04_3_E08,PA14_03070,PA0248,NA,putative transcriptional regulator,0.27025390265648364,0.46468137332913956
PAMr_nr_mas_04_3_E09,PA14_04510,PA0344,NA,conserved hypothetical protein,-0.7873332578221867,-0.18189130188630467
PAMr_nr_mas_04_3_E10,PA14_67680,PA5125,ntrC,two-component response regulator NtrC,-0.5616113378709199,0.17063216663164382
PAMr_nr_mas_04_3_E11,PA14_06480,PA0496,NA,putative hydrolase,-1.212111912834016,0.3684065785118751
PAMr_nr_mas_04_3_E12,PA14_70980,PA5375,betT1,choline/carnitine/betaine transporter family protein,-1.3733167819616208,0.14365243089533894
PAMr_nr_mas_04_3_F01,PA14_18300,PA3559,NA,putative nucleotide sugar dehydrogenase,-1.6661631533758927,1.0292386196525003
PAMr_nr_mas_04_3_F02,PA14_21000,PA3329,NA,hypothetical protein,-0.5892518091153418,-0.022811584115002614
PAMr_nr_mas_04_3_F03,PA14_51280,PA1009,NA,Putative glycine cleavage system transcriptional repressor,0.9724231370395479,-0.06932890391525887
PAMr_nr_mas_04_3_F04,PA14_24490,PA3063,NA,conserved hypothetical protein,0.048574624863484434,-0.18369741481344476
PAMr_nr_mas_04_3_F05,NA,NA,NA,NA,0.48492488810200696,0.18310424128701644
PAMr_nr_mas_04_3_F06,PA14_59050,PA3849,NA,Nucleoid-associated protein,-0.3867384120672141,-0.09219992343357938
PAMr_nr_mas_04_3_F07,PA14_01170,PA0096,NA,conserved hypothetical protein,1.4947781997413252,-0.09321822474944472
PAMr_nr_mas_04_3_F08,PA14_44800,PA1519,NA,putative transporter,-0.3712506270091535,0.13971905308978377
PAMr_nr_mas_04_3_F09,PA14_62670,PA4737,NA,conserved hypothetical protein,0.2836406776744206,0.32548928153292456
PAMr_nr_mas_04_3_F10,PA14_69130,PA5235,glpT,glycerol-3-phosphate transporter,-0.5860063944423745,-0.4353111497876832
PAMr_nr_mas_04_3_F11,PA14_68390,PA5177,NA,putative hydrolase,-0.2636866218636522,-0.020796388812517073
PAMr_nr_mas_04_3_F12,PA14_37030,PA2130,cupA3,usher,-0.6551707112189625,-0.05513729032974356
PAMr_nr_mas_04_3_G01,PA14_20000,PA3409,NA,"putative Fe2+-dicitrate sensor, membrane component",-0.9486335645446622,-0.3588579239866523
