"","mouse","sex","vendor","inoculum","media","CFU_per_mL","fold_change","log_CI","trial","log_fold_change","log_CFU_per_mL","mean_log_fold_change","mean_log_CFU_per_mL","inoc_vendor"
"50","M1107","m","jax","JV1_JV450","Pa",5.4e+08,180,NA,"trial_2",2.25527250510331,8.73239375982297,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"51","M1108","m","jax","JV1_JV450","Pa",5e+07,15.625,NA,"trial_2",1.19382002601611,7.69897000433602,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"52","M1109","m","jax","JV1_JV450","Pa",6e+09,2142.85714285714,NA,"trial_2",3.33099321904142,9.77815125038364,5551.15622301514,9.47815081120972,"JV1_JV450_jax"
"53","M1104","m","cr","JV1_JV462","LB_rif",3.8e+08,95,-1.22184874961636,"trial_2",1.97772360528885,8.57978359661681,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"54","M1105","m","cr","JV1_JV462","LB_rif",4.8e+07,16,-0.646117697010743,"trial_2",1.20411998265592,7.68124123737559,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"55","M1106","m","cr","JV1_JV462","LB_rif",5.8e+08,170.588235294118,-2.81151661726041,"trial_2",2.23194907652068,8.76342799356294,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"56","M1107","m","jax","JV1_JV462","LB_rif",2.4e+09,631.578947368421,0.675488908486496,"trial_2",2.8004276450948,9.38021124171161,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"57","M1108","m","jax","JV1_JV462","LB_rif",3.6e+08,72,-0.0701168364201198,"trial_2",1.85733249643127,8.55630250076729,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"58","M1109","m","jax","JV1_JV462","LB_rif",3.2e+08,114.285714285714,-3.00646604224923,"trial_2",2.05799194697769,8.50514997831991,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"59","M1104","m","cr","JV1_JV462","Pa",3.8e+09,1583.33333333333,NA,"trial_2",3.1995723549052,9.57978359661681,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"60","M1105","m","cr","JV1_JV462","Pa",3.4e+08,70.8333333333333,NA,"trial_2",1.85023767966667,8.53147891704226,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"61","M1106","m","cr","JV1_JV462","Pa",4.2e+11,110526.315789474,NA,"trial_2",5.04346569378109,11.6232492903979,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"62","M1107","m","jax","JV1_JV462","Pa",5.6e+08,133.333333333333,NA,"trial_2",2.1249387366083,8.7481880270062,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"63","M1108","m","jax","JV1_JV462","Pa",4.4e+08,84.6153846153846,NA,"trial_2",1.92744933285139,8.64345267648619,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"64","M1109","m","jax","JV1_JV462","Pa",5.8e+11,116000,NA,"trial_2",5.06445798922692,11.7634279935629,15418.239333211,9.30168557261028,"JV1_JV462_jax"
